"","GIS.Join.Match.Code","Row.Source.Year","NHGIS.Integrated.State.Name","FIPS.State.Code","NHGIS.Integrated.State.Code","NHGIS.Integrated.County.Name","FIPS.County.Code","NHGIS.Integrated.County.Code","Year.Specific.Area.Name","Persons..Total","Persons..Urban","Persons..Rural","Median.income.in.previous.year..Households"
"1","G0400010","1980","Arizona",4,40,"Apache County",1,10,"APACHE COUNTY",52108,12405,39703,11057
"2","G0400030","1980","Arizona",4,40,"Cochise County",3,30,"COCHISE COUNTY",85686,52582,33104,13668
"3","G0400050","1980","Arizona",4,40,"Coconino County",5,50,"COCONINO COUNTY",75008,46473,28535,15962
"4","G0400070","1980","Arizona",4,40,"Gila County",7,70,"GILA COUNTY",37080,19951,17129,13828
"5","G0400090","1980","Arizona",4,40,"Graham County",9,90,"GRAHAM COUNTY",22862,10384,12478,12479
"6","G0400110","1980","Arizona",4,40,"Greenlee County",11,110,"GREENLEE COUNTY",11406,6981,4425,21396
"7","G0400130","1980","Arizona",4,40,"Maricopa County",13,130,"MARICOPA COUNTY",1509052,1437392,71660,17728
"8","G0400150","1980","Arizona",4,40,"Mohave County",15,150,"MOHAVE COUNTY",55865,35530,20335,14160
"9","G0400170","1980","Arizona",4,40,"Navajo County",17,170,"NAVAJO COUNTY",67629,24857,42772,13593
"10","G0400190","1980","Arizona",4,40,"Pima County",19,190,"PIMA COUNTY",531443,468810,62633,15796
"11","G0400210","1980","Arizona",4,40,"Pinal County",21,210,"PINAL COUNTY",90918,54077,36841,14478
"12","G0400230","1980","Arizona",4,40,"Santa Cruz County",23,230,"SANTA CRUZ COUNTY",20459,15683,4776,14575
"13","G0400250","1980","Arizona",4,40,"Yavapai County",25,250,"YAVAPAI COUNTY",68145,31053,37092,13076
"14","G0400270","1980","Arizona",4,40,"Yuma County",27,270,"YUMA COUNTY",90554,62550,28004,13589
"15","G0400010","1990","Arizona",4,40,"Apache County",1,10,"Apache County",61591,20173,41418,14100
"16","G0400030","1990","Arizona",4,40,"Cochise County",3,30,"Cochise County",97624,68265,29359,22425
"17","G0400050","1990","Arizona",4,40,"Coconino County",5,50,"Coconino County",96591,64136,32455,26112
"18","G0400070","1990","Arizona",4,40,"Gila County",7,70,"Gila County",40216,20326,19890,20964
"19","G0400090","1990","Arizona",4,40,"Graham County",9,90,"Graham County",26554,11122,15432,18455
"20","G0400110","1990","Arizona",4,40,"Greenlee County",11,110,"Greenlee County",8008,2820,5188,27491
"21","G0400120","1990","Arizona",4,40,"La Paz County",12,120,"La Paz County",13844,2897,10947,16555
"22","G0400130","1990","Arizona",4,40,"Maricopa County",13,130,"Maricopa County",2122101,2045271,76830,30797
"23","G0400150","1990","Arizona",4,40,"Mohave County",15,150,"Mohave County",93497,80008,13489,24002
"24","G0400170","1990","Arizona",4,40,"Navajo County",17,170,"Navajo County",77658,28770,48888,19452
"25","G0400190","1990","Arizona",4,40,"Pima County",19,190,"Pima County",666880,616367,50513,25401
"26","G0400210","1990","Arizona",4,40,"Pinal County",21,210,"Pinal County",116379,68903,47476,21301
"27","G0400230","1990","Arizona",4,40,"Santa Cruz County",23,230,"Santa Cruz County",29676,19489,10187,22066
"28","G0400250","1990","Arizona",4,40,"Yavapai County",25,250,"Yavapai County",107714,70672,37042,22060
"29","G0400270","1990","Arizona",4,40,"Yuma County",27,270,"Yuma County",106895,87754,19141,23635
"30","G0400010","2000","Arizona",4,40,"Apache County",1,10,"Apache County",69423,16601,52822,23344
"31","G0400030","2000","Arizona",4,40,"Cochise County",3,30,"Cochise County",117755,78223,39532,32105
"32","G0400050","2000","Arizona",4,40,"Coconino County",5,50,"Coconino County",116320,74568,41752,38256
"33","G0400070","2000","Arizona",4,40,"Gila County",7,70,"Gila County",51335,28279,23056,30917
"34","G0400090","2000","Arizona",4,40,"Graham County",9,90,"Graham County",33489,14862,18627,29668
"35","G0400110","2000","Arizona",4,40,"Greenlee County",11,110,"Greenlee County",8547,4292,4255,39384
"36","G0400120","2000","Arizona",4,40,"La Paz County",12,120,"La Paz County",19715,8609,11106,25839
"37","G0400130","2000","Arizona",4,40,"Maricopa County",13,130,"Maricopa County",3072149,2981954,90195,45358
"38","G0400150","2000","Arizona",4,40,"Mohave County",15,150,"Mohave County",155032,116801,38231,31521
"39","G0400170","2000","Arizona",4,40,"Navajo County",17,170,"Navajo County",97470,40296,57174,28569
"40","G0400190","2000","Arizona",4,40,"Pima County",19,190,"Pima County",843746,772583,71163,36758
"41","G0400210","2000","Arizona",4,40,"Pinal County",21,210,"Pinal County",179727,116228,63499,35856
"42","G0400230","2000","Arizona",4,40,"Santa Cruz County",23,230,"Santa Cruz County",38381,26141,12240,29710
"43","G0400250","2000","Arizona",4,40,"Yavapai County",25,250,"Yavapai County",167517,105007,62510,34901
"44","G0400270","2000","Arizona",4,40,"Yuma County",27,270,"Yuma County",160026,139091,20935,32182
"45","G0400010","2010","Arizona",4,40,"Apache County",1,10,"Apache County",71518,18551,52967,NA
"46","G0400030","2010","Arizona",4,40,"Cochise County",3,30,"Cochise County",131346,83666,47680,NA
"47","G0400050","2010","Arizona",4,40,"Coconino County",5,50,"Coconino County",134421,92124,42297,NA
"48","G0400070","2010","Arizona",4,40,"Gila County",7,70,"Gila County",53597,31589,22008,NA
"49","G0400090","2010","Arizona",4,40,"Graham County",9,90,"Graham County",37220,19936,17284,NA
"50","G0400110","2010","Arizona",4,40,"Greenlee County",11,110,"Greenlee County",8437,4508,3929,NA
"51","G0400120","2010","Arizona",4,40,"La Paz County",12,120,"La Paz County",20489,8948,11541,NA
"52","G0400130","2010","Arizona",4,40,"Maricopa County",13,130,"Maricopa County",3817117,3726888,90229,NA
"53","G0400150","2010","Arizona",4,40,"Mohave County",15,150,"Mohave County",200186,154216,45970,NA
"54","G0400170","2010","Arizona",4,40,"Navajo County",17,170,"Navajo County",107449,49278,58171,NA
"55","G0400190","2010","Arizona",4,40,"Pima County",19,190,"Pima County",980263,906513,73750,NA
"56","G0400210","2010","Arizona",4,40,"Pinal County",21,210,"Pinal County",375770,293459,82311,NA
"57","G0400230","2010","Arizona",4,40,"Santa Cruz County",23,230,"Santa Cruz County",47420,34672,12748,NA
"58","G0400250","2010","Arizona",4,40,"Yavapai County",25,250,"Yavapai County",211033,140976,70057,NA
"59","G0400270","2010","Arizona",4,40,"Yuma County",27,270,"Yuma County",195751,175335,20416,NA
"60","G0400010","2006-2010","Arizona",4,40,"Apache County",1,10,"Apache County",NA,NA,NA,30184
"61","G0400030","2006-2010","Arizona",4,40,"Cochise County",3,30,"Cochise County",NA,NA,NA,44876
"62","G0400050","2006-2010","Arizona",4,40,"Coconino County",5,50,"Coconino County",NA,NA,NA,49510
"63","G0400070","2006-2010","Arizona",4,40,"Gila County",7,70,"Gila County",NA,NA,NA,37580
"64","G0400090","2006-2010","Arizona",4,40,"Graham County",9,90,"Graham County",NA,NA,NA,41683
"65","G0400110","2006-2010","Arizona",4,40,"Greenlee County",11,110,"Greenlee County",NA,NA,NA,48696
"66","G0400120","2006-2010","Arizona",4,40,"La Paz County",12,120,"La Paz County",NA,NA,NA,32147
"67","G0400130","2006-2010","Arizona",4,40,"Maricopa County",13,130,"Maricopa County",NA,NA,NA,55054
"68","G0400150","2006-2010","Arizona",4,40,"Mohave County",15,150,"Mohave County",NA,NA,NA,39785
"69","G0400170","2006-2010","Arizona",4,40,"Navajo County",17,170,"Navajo County",NA,NA,NA,39774
"70","G0400190","2006-2010","Arizona",4,40,"Pima County",19,190,"Pima County",NA,NA,NA,45521
"71","G0400210","2006-2010","Arizona",4,40,"Pinal County",21,210,"Pinal County",NA,NA,NA,51310
"72","G0400230","2006-2010","Arizona",4,40,"Santa Cruz County",23,230,"Santa Cruz County",NA,NA,NA,36519
"73","G0400250","2006-2010","Arizona",4,40,"Yavapai County",25,250,"Yavapai County",NA,NA,NA,43290
"74","G0400270","2006-2010","Arizona",4,40,"Yuma County",27,270,"Yuma County",NA,NA,NA,40340
"75","G0400010","2007-2011","Arizona",4,40,"Apache County",1,10,"Apache County, Arizona",NA,NA,NA,31011
"76","G0400030","2007-2011","Arizona",4,40,"Cochise County",3,30,"Cochise County, Arizona",NA,NA,NA,45906
"77","G0400050","2007-2011","Arizona",4,40,"Coconino County",5,50,"Coconino County, Arizona",NA,NA,NA,49615
"78","G0400070","2007-2011","Arizona",4,40,"Gila County",7,70,"Gila County, Arizona",NA,NA,NA,37905
"79","G0400090","2007-2011","Arizona",4,40,"Graham County",9,90,"Graham County, Arizona",NA,NA,NA,43083
"80","G0400110","2007-2011","Arizona",4,40,"Greenlee County",11,110,"Greenlee County, Arizona",NA,NA,NA,49390
"81","G0400120","2007-2011","Arizona",4,40,"La Paz County",12,120,"La Paz County, Arizona",NA,NA,NA,32220
"82","G0400130","2007-2011","Arizona",4,40,"Maricopa County",13,130,"Maricopa County, Arizona",NA,NA,NA,55099
"83","G0400150","2007-2011","Arizona",4,40,"Mohave County",15,150,"Mohave County, Arizona",NA,NA,NA,40573
"84","G0400170","2007-2011","Arizona",4,40,"Navajo County",17,170,"Navajo County, Arizona",NA,NA,NA,38975
"85","G0400190","2007-2011","Arizona",4,40,"Pima County",19,190,"Pima County, Arizona",NA,NA,NA,46341
"86","G0400210","2007-2011","Arizona",4,40,"Pinal County",21,210,"Pinal County, Arizona",NA,NA,NA,51212
"87","G0400230","2007-2011","Arizona",4,40,"Santa Cruz County",23,230,"Santa Cruz County, Arizona",NA,NA,NA,38092
"88","G0400250","2007-2011","Arizona",4,40,"Yavapai County",25,250,"Yavapai County, Arizona",NA,NA,NA,44084
"89","G0400270","2007-2011","Arizona",4,40,"Yuma County",27,270,"Yuma County, Arizona",NA,NA,NA,41441
"90","G0400010","2008-2012","Arizona",4,40,"Apache County",1,10,"Apache County, Arizona",NA,NA,NA,31615
"91","G0400030","2008-2012","Arizona",4,40,"Cochise County",3,30,"Cochise County, Arizona",NA,NA,NA,45505
"92","G0400050","2008-2012","Arizona",4,40,"Coconino County",5,50,"Coconino County, Arizona",NA,NA,NA,48320
"93","G0400070","2008-2012","Arizona",4,40,"Gila County",7,70,"Gila County, Arizona",NA,NA,NA,38504
"94","G0400090","2008-2012","Arizona",4,40,"Graham County",9,90,"Graham County, Arizona",NA,NA,NA,44421
"95","G0400110","2008-2012","Arizona",4,40,"Greenlee County",11,110,"Greenlee County, Arizona",NA,NA,NA,49692
"96","G0400120","2008-2012","Arizona",4,40,"La Paz County",12,120,"La Paz County, Arizona",NA,NA,NA,35093
"97","G0400130","2008-2012","Arizona",4,40,"Maricopa County",13,130,"Maricopa County, Arizona",NA,NA,NA,54385
"98","G0400150","2008-2012","Arizona",4,40,"Mohave County",15,150,"Mohave County, Arizona",NA,NA,NA,39383
"99","G0400170","2008-2012","Arizona",4,40,"Navajo County",17,170,"Navajo County, Arizona",NA,NA,NA,37683
"100","G0400190","2008-2012","Arizona",4,40,"Pima County",19,190,"Pima County, Arizona",NA,NA,NA,46443
"101","G0400210","2008-2012","Arizona",4,40,"Pinal County",21,210,"Pinal County, Arizona",NA,NA,NA,50164
"102","G0400230","2008-2012","Arizona",4,40,"Santa Cruz County",23,230,"Santa Cruz County, Arizona",NA,NA,NA,37692
"103","G0400250","2008-2012","Arizona",4,40,"Yavapai County",25,250,"Yavapai County, Arizona",NA,NA,NA,43652
"104","G0400270","2008-2012","Arizona",4,40,"Yuma County",27,270,"Yuma County, Arizona",NA,NA,NA,41156
"105","G0400010","2009-2013","Arizona",4,40,"Apache County",1,10,"Apache County, Arizona",NA,NA,NA,31476
"106","G0400030","2009-2013","Arizona",4,40,"Cochise County",3,30,"Cochise County, Arizona",NA,NA,NA,45755
"107","G0400050","2009-2013","Arizona",4,40,"Coconino County",5,50,"Coconino County, Arizona",NA,NA,NA,49555
"108","G0400070","2009-2013","Arizona",4,40,"Gila County",7,70,"Gila County, Arizona",NA,NA,NA,39954
"109","G0400090","2009-2013","Arizona",4,40,"Graham County",9,90,"Graham County, Arizona",NA,NA,NA,44943
"110","G0400110","2009-2013","Arizona",4,40,"Greenlee County",11,110,"Greenlee County, Arizona",NA,NA,NA,47992
"111","G0400120","2009-2013","Arizona",4,40,"La Paz County",12,120,"La Paz County, Arizona",NA,NA,NA,35776
"112","G0400130","2009-2013","Arizona",4,40,"Maricopa County",13,130,"Maricopa County, Arizona",NA,NA,NA,53596
"113","G0400150","2009-2013","Arizona",4,40,"Mohave County",15,150,"Mohave County, Arizona",NA,NA,NA,39200
"114","G0400170","2009-2013","Arizona",4,40,"Navajo County",17,170,"Navajo County, Arizona",NA,NA,NA,36927
"115","G0400190","2009-2013","Arizona",4,40,"Pima County",19,190,"Pima County, Arizona",NA,NA,NA,45841
"116","G0400210","2009-2013","Arizona",4,40,"Pinal County",21,210,"Pinal County, Arizona",NA,NA,NA,50027
"117","G0400230","2009-2013","Arizona",4,40,"Santa Cruz County",23,230,"Santa Cruz County, Arizona",NA,NA,NA,37745
"118","G0400250","2009-2013","Arizona",4,40,"Yavapai County",25,250,"Yavapai County, Arizona",NA,NA,NA,42987
"119","G0400270","2009-2013","Arizona",4,40,"Yuma County",27,270,"Yuma County, Arizona",NA,NA,NA,41595
"120","G0400010","2010-2014","Arizona",4,40,"Apache County",1,10,"Apache County, Arizona",NA,NA,NA,32396
"121","G0400030","2010-2014","Arizona",4,40,"Cochise County",3,30,"Cochise County, Arizona",NA,NA,NA,45974
"122","G0400050","2010-2014","Arizona",4,40,"Coconino County",5,50,"Coconino County, Arizona",NA,NA,NA,48540
"123","G0400070","2010-2014","Arizona",4,40,"Gila County",7,70,"Gila County, Arizona",NA,NA,NA,40042
"124","G0400090","2010-2014","Arizona",4,40,"Graham County",9,90,"Graham County, Arizona",NA,NA,NA,46965
"125","G0400110","2010-2014","Arizona",4,40,"Greenlee County",11,110,"Greenlee County, Arizona",NA,NA,NA,50818
"126","G0400120","2010-2014","Arizona",4,40,"La Paz County",12,120,"La Paz County, Arizona",NA,NA,NA,37009
"127","G0400130","2010-2014","Arizona",4,40,"Maricopa County",13,130,"Maricopa County, Arizona",NA,NA,NA,53689
"128","G0400150","2010-2014","Arizona",4,40,"Mohave County",15,150,"Mohave County, Arizona",NA,NA,NA,38456
"129","G0400170","2010-2014","Arizona",4,40,"Navajo County",17,170,"Navajo County, Arizona",NA,NA,NA,36591
"130","G0400190","2010-2014","Arizona",4,40,"Pima County",19,190,"Pima County, Arizona",NA,NA,NA,46233
"131","G0400210","2010-2014","Arizona",4,40,"Pinal County",21,210,"Pinal County, Arizona",NA,NA,NA,50248
"132","G0400230","2010-2014","Arizona",4,40,"Santa Cruz County",23,230,"Santa Cruz County, Arizona",NA,NA,NA,38802
"133","G0400250","2010-2014","Arizona",4,40,"Yavapai County",25,250,"Yavapai County, Arizona",NA,NA,NA,44000
